,file,number,date_time,weight,Sex_Limit_Category,species,farm,house,gender,pen
289,JC06F14,46,2022-10-07 13:45:14,1.076,not used,J,C,06,F,14
290,JC06F14,47,2022-10-07 13:45:20,0.983,not used,J,C,06,F,14
291,JC06F14,48,2022-10-07 13:45:27,0.960,not used,J,C,06,F,14
292,JC06F14,49,2022-10-07 13:45:35,1.015,not used,J,C,06,F,14
293,JC06F14,50,2022-10-07 13:45:43,0.893,not used,J,C,06,F,14
294,JC06F14,51,2022-10-07 13:45:50,0.873,not used,J,C,06,F,14
295,JC06F14,52,2022-10-07 13:45:58,1.003,not used,J,C,06,F,14
296,JC06F14,53,2022-10-07 13:46:06,0.949,not used,J,C,06,F,14
297,JC06F14,54,2022-10-07 13:46:14,0.991,not used,J,C,06,F,14
298,JC06F14,55,2022-10-07 13:46:22,0.914,not used,J,C,06,F,14
299,JC06F14,56,2022-10-07 13:46:30,0.936,not used,J,C,06,F,14
300,JC06F14,57,2022-10-07 13:46:39,0.907,not used,J,C,06,F,14
301,JC06F14,58,2022-10-07 13:46:48,1.006,not used,J,C,06,F,14
302,JC06F14,59,2022-10-07 13:46:55,1.124,not used,J,C,06,F,14
303,JC06F14,60,2022-10-07 13:47:02,0.921,not used,J,C,06,F,14
312,JC06F15,1,2022-10-07 13:49:50,0.994,not used,J,C,06,F,15
313,JC06F15,2,2022-10-07 13:50:00,0.876,not used,J,C,06,F,15
314,JC06F15,3,2022-10-07 13:50:07,0.990,not used,J,C,06,F,15
315,JC06F15,4,2022-10-07 13:50:14,1.023,not used,J,C,06,F,15
316,JC06F15,5,2022-10-07 13:50:23,0.977,not used,J,C,06,F,15
317,JC06F15,6,2022-10-07 13:50:29,1.123,not used,J,C,06,F,15
318,JC06F15,7,2022-10-07 13:50:41,0.899,not used,J,C,06,F,15
319,JC06F15,8,2022-10-07 13:50:48,1.002,not used,J,C,06,F,15
320,JC06F15,9,2022-10-07 13:50:58,0.915,not used,J,C,06,F,15
321,JC06F15,10,2022-10-07 13:51:07,1.021,not used,J,C,06,F,15
322,JC06F15,11,2022-10-07 13:51:21,0.901,not used,J,C,06,F,15
323,JC06F15,12,2022-10-07 13:51:28,1.062,not used,J,C,06,F,15
324,JC06F15,13,2022-10-07 13:51:33,0.853,not used,J,C,06,F,15
325,JC06F15,14,2022-10-07 13:51:39,0.857,not used,J,C,06,F,15
326,JC06F15,15,2022-10-07 13:51:46,1.010,not used,J,C,06,F,15
327,JC06F15,16,2022-10-07 13:51:53,0.959,not used,J,C,06,F,15
328,JC06F15,17,2022-10-07 13:51:59,0.949,not used,J,C,06,F,15
329,JC06F15,18,2022-10-07 13:52:05,0.961,not used,J,C,06,F,15
330,JC06F15,19,2022-10-07 13:52:13,1.003,not used,J,C,06,F,15
331,JC06F15,20,2022-10-07 13:52:20,0.901,not used,J,C,06,F,15
332,JC06F15,21,2022-10-07 13:52:28,0.850,not used,J,C,06,F,15
333,JC06F15,22,2022-10-07 13:52:35,0.974,not used,J,C,06,F,15
334,JC06F15,23,2022-10-07 13:52:43,0.964,not used,J,C,06,F,15
335,JC06F15,24,2022-10-07 13:52:51,0.916,not used,J,C,06,F,15
336,JC06F15,25,2022-10-07 13:52:58,0.917,not used,J,C,06,F,15
337,JC06F15,26,2022-10-07 13:53:07,0.924,not used,J,C,06,F,15
338,JC06F15,27,2022-10-07 13:53:14,0.890,not used,J,C,06,F,15
339,JC06F15,28,2022-10-07 13:53:21,0.971,not used,J,C,06,F,15
340,JC06F15,29,2022-10-07 13:53:28,0.972,not used,J,C,06,F,15
341,JC06F15,30,2022-10-07 13:53:37,0.877,not used,J,C,06,F,15
342,JC06F15,31,2022-10-07 13:53:43,1.006,not used,J,C,06,F,15
343,JC06F15,32,2022-10-07 13:53:50,1.212,not used,J,C,06,F,15
344,JC06F15,33,2022-10-07 13:53:57,0.890,not used,J,C,06,F,15
345,JC06F15,34,2022-10-07 13:54:04,0.968,not used,J,C,06,F,15
346,JC06F15,35,2022-10-07 13:54:10,1.037,not used,J,C,06,F,15
347,JC06F15,36,2022-10-07 13:54:18,0.951,not used,J,C,06,F,15
348,JC06F15,37,2022-10-07 13:54:25,1.040,not used,J,C,06,F,15
349,JC06F15,38,2022-10-07 13:54:32,1.101,not used,J,C,06,F,15
350,JC06F15,39,2022-10-07 13:54:40,1.024,not used,J,C,06,F,15
351,JC06F15,40,2022-10-07 13:54:48,0.977,not used,J,C,06,F,15
352,JC06F15,41,2022-10-07 13:54:56,1.098,not used,J,C,06,F,15
353,JC06F15,42,2022-10-07 13:55:04,0.948,not used,J,C,06,F,15
354,JC06F15,43,2022-10-07 13:55:10,0.938,not used,J,C,06,F,15
355,JC06F15,44,2022-10-07 13:55:18,1.000,not used,J,C,06,F,15
356,JC06F15,45,2022-10-07 13:55:24,0.940,not used,J,C,06,F,15
357,JC06F15,46,2022-10-07 13:55:31,0.897,not used,J,C,06,F,15
358,JC06F15,47,2022-10-07 13:55:38,0.946,not used,J,C,06,F,15
359,JC06F15,48,2022-10-07 13:55:44,0.896,not used,J,C,06,F,15
360,JC06F15,49,2022-10-07 13:55:52,1.011,not used,J,C,06,F,15
361,JC06F15,50,2022-10-07 13:55:59,0.795,not used,J,C,06,F,15
362,JC06F15,51,2022-10-07 13:56:06,0.928,not used,J,C,06,F,15
363,JC06F15,52,2022-10-07 13:56:16,0.920,not used,J,C,06,F,15
364,JC06F15,53,2022-10-07 13:56:23,1.031,not used,J,C,06,F,15
365,JC06F15,54,2022-10-07 13:56:29,1.004,not used,J,C,06,F,15
366,JC06F15,55,2022-10-07 13:56:36,0.924,not used,J,C,06,F,15
367,JC06F15,56,2022-10-07 13:56:43,0.924,not used,J,C,06,F,15
368,JC06F15,57,2022-10-07 13:56:49,1.022,not used,J,C,06,F,15
369,JC06F15,58,2022-10-07 13:56:55,0.858,not used,J,C,06,F,15
370,JC06F15,59,2022-10-07 13:57:02,0.936,not used,J,C,06,F,15
371,JC06F15,60,2022-10-07 13:57:08,0.903,not used,J,C,06,F,15
